,Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Opp_2,Tm,1stD,1stD_2,TotYd,TotYd_2,PassY,PassY_2,RushY,RushY_2,TO,TO_2,Offense,Defense,Sp. Tms,,key,Unnamed: 0,DET,ARI
5,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Total Yards,,442
6,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Fumbles-Lost,,0-0
7,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Turnovers,,0
8,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Penalties-Yards,,8-57
9,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Third Down Conv.,,7-13
10,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Fourth Down Conv.,,1-1
11,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Time of Possession,,27:13
0,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,First Downs,,18
1,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Rush-Yds-TDs,,38-156-3
2,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Cmp-Att-Yd-TD-INT,,14-21-104-0-0
3,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Sacked-Yards,,2-15
4,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Net Pass Yards,,89
5,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Total Yards,,245
6,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Fumbles-Lost,,0-0
7,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Turnovers,,0
8,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Penalties-Yards,,10-85
9,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Third Down Conv.,,7-15
10,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Fourth Down Conv.,,1-1
11,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Time of Possession,,29:59
0,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,First Downs,,10
1,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Rush-Yds-TDs,,11-40-0
2,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Cmp-Att-Yd-TD-INT,,19-34-220-0-0
3,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Sacked-Yards,,4-23
4,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Net Pass Yards,,197
5,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Total Yards,,237
6,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Fumbles-Lost,,1-0
7,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Turnovers,,0
8,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Penalties-Yards,,5-35
9,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Third Down Conv.,,2-12
10,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Fourth Down Conv.,,0-2
11,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Time of Possession,,22:01
0,9,Thu,October 31,8:20PM ET,boxscore,L,,3-5-1,,San Francisco 49ers,28.0,25.0,19.0,21.0,357.0,411.0,204.0,310.0,153.0,101.0,,,14.71,-18.45,-0.88,/boxscores/201910310crd.htm,0,First Downs,,19
1,9,Thu,October 31,8:20PM ET,boxscore,L,,3-5-1,,San Francisco 49ers,28.0,25.0,19.0,21.0,357.0,411.0,204.0,310.0,153.0,101.0,,,14.71,-18.45,-0.88,/boxscores/201910310crd.htm,0,Rush-Yds-TDs,,23-153-1
